id,label,category
0,GOOD MORNING,GREETING
1,GOOD AFTERNOON,GREETING
2,GOOD EVENING,GREETING
3,HELLO,GREETING
4,HOW ARE YOU,GREETING
5,IM FINE,GREETING
6,NICE TO MEET YOU,GREETING
7,THANK YOU,GREETING
8,YOURE WELCOME,GREETING
9,SEE YOU TOMORROW,GREETING
10,UNDERSTAND,SURVIVAL
11,DON’T UNDERSTAND,SURVIVAL
12,KNOW,SURVIVAL
13,DON’T KNOW,SURVIVAL
14,NO,SURVIVAL
15,YES,SURVIVAL
16,WRONG,SURVIVAL
17,CORRECT,SURVIVAL
18,SLOW,SURVIVAL
19,FAST,SURVIVAL
20,ONE,NUMBER
21,TWO,NUMBER
22,THREE,NUMBER
23,FOUR,NUMBER
24,FIVE,NUMBER
25,SIX,NUMBER
26,SEVEN,NUMBER
27,EIGHT,NUMBER
28,NINE ,NUMBER
29,TEN,NUMBER
30,JANUARY,CALENDAR
31,FEBRUARY,CALENDAR
32,MARCH,CALENDAR
33,APRIL,CALENDAR
34,MAY,CALENDAR
35,JUNE,CALENDAR
36,JULY,CALENDAR
37,AUGUST,CALENDAR
38,SEPTEMBER,CALENDAR
39,OCTOBER,CALENDAR
40,NOVEMBER,CALENDAR
41,DECEMBER,CALENDAR
42,MONDAY,DAYS
43,TUESDAY,DAYS
44,WEDNESDAY,DAYS
45,THURSDAY,DAYS
46,FRIDAY,DAYS
47,SATURDAY,DAYS
48,SUNDAY,DAYS
49,TODAY,DAYS
50,TOMORROW,DAYS
51,YESTERDAY,DAYS
52,FATHER,FAMILY
53,MOTHER,FAMILY
54,SON,FAMILY
55,DAUGHTER,FAMILY
56,GRANDFATHER,FAMILY
57,GRANDMOTHER,FAMILY
58,UNCLE,FAMILY
59,AUNTIE,FAMILY
60,COUSIN,FAMILY
61,PARENTS,FAMILY
62,BOY,RELATIONSHIPS
63,GIRL,RELATIONSHIPS
64,MAN,RELATIONSHIPS
65,WOMAN,RELATIONSHIPS
66,DEAF,RELATIONSHIPS
67,HARD OF HEARING,RELATIONSHIPS
68,WEELCHAIR PERSON,RELATIONSHIPS
69,BLIND,RELATIONSHIPS
70,DEAF BLIND,RELATIONSHIPS
71,MARRIED,RELATIONSHIPS
72,BLUE,COLOR
73,GREEN,COLOR
74,RED,COLOR
75,BROWN,COLOR
76,BLACK,COLOR
77,WHITE,COLOR
78,YELLOW,COLOR
79,ORANGE,COLOR
80,GRAY,COLOR
81,PINK,COLOR
82,VIOLET,COLOR
83,LIGHT,COLOR
84,DARK,COLOR
85,BREAD,FOOD
86,EGG,FOOD
87,FISH,FOOD
88,MEAT,FOOD
89,CHICKEN,FOOD
90,SPAGHETTI,FOOD
91,RICE,FOOD
92,LONGANISA,FOOD
93,SHRIMP,FOOD
94,CRAB,FOOD
95,HOT,DRINK
96,COLD,DRINK
97,JUICE,DRINK
98,MILK,DRINK
99,COFFEE,DRINK
100,TEA,DRINK
101,BEER,DRINK
102,WINE,DRINK
103,SUGAR,DRINK
104,NO SUGAR,DRINK
